product_id,total_reviews,avg_star_rating,avg_sentiment
B0000W0GQQ,4,4.5,0.6913
B0000W4PDQ,4,3.25,0.8689
B0000WATW2,1,5.0,0.7346
B0000WEVG2,1,5.0,0.9892
B0000WEVH6,2,5.0,0.8999
B0000WKTLS,1,4.0,0.7003
B0000WKTYA,1,2.0,-0.1779
B0000WKU8K,6,3.8333,0.6295
B0000WKXEQ,2,3.0,0.7342
B0000X0W28,1,5.0,0.9846
B0000X0W7S,1,5.0,0.911
B0000X0W8C,1,5.0,0.7003
B0000XQQNW,1,5.0,0.6597
B0000XQQQO,1,5.0,0.8316
B0000XQQS2,1,5.0,0.9535
B0000Y3PH6,1,5.0,0.9287
B0000Y3PQC,1,5.0,0.9423
B0000Y3PUS,1,4.0,0.4404
B0000YDS8C,2,2.5,0.5656
B0000YQRB2,1,5.0,0.6124
B0000YQRIA,1,5.0,0.8934
B0000YUTOS,1,5.0,0.9186
B0000YVCIA,1,5.0,0.9897
B0000ZHYXQ,1,5.0,0.8836
B0000ZHZ1M,1,5.0,0.34
B0000ZHZA8,1,5.0,0.8834
B0000ZKG1I,1,5.0,0.6597
B0000ZRGPC,1,5.0,0.765
B0000ZRGV6,1,5.0,0.8779
B0000ZSH8M,1,5.0,0.9274
B0000ZSH8W,1,2.0,0.9349
B0000ZSH9Q,1,5.0,0.8481
B0000ZSHAA,1,3.0,-0.3116
B0000ZSHAK,1,1.0,-0.1779
B0000ZSHBO,4,2.0,0.637
B000100IEC,1,5.0,0.7351
B000100IFG,1,2.0,-0.0772
B000100IG0,2,5.0,0.3583
B00011EXO2,1,5.0,-0.3612
B00011RJU2,3,4.6667,0.8946
B00012170Y,1,5.0,0.7294
B000121718,1,1.0,0.0
B00012171I,1,5.0,0.9611
B000121768,1,5.0,0.9459
B0001217BS,3,2.3333,0.5636
B00012182G,24,3.4583,0.4001
B000121A7O,1,5.0,0.9631
B000121ACE,1,4.0,0.9393
B000121AEC,1,5.0,0.224
B000121AQ0,1,4.0,0.9868
B000121AZQ,1,5.0,0.8622
B000121BY6,5,4.4,0.903
B000121C0E,1,5.0,0.95
B000122NLQ,1,5.0,0.872
B000126ZU6,1,1.0,-0.9797
B00012OHY2,1,5.0,0.7096
B00012OHZ6,1,5.0,0.926
B00012OI00,1,5.0,0.9837
B00012OI28,1,5.0,0.7269
B00012OI7I,1,5.0,0.0258
B00012PPOI,1,5.0,0.9371
B00012WE10,1,5.0,0.9862
B0001392LO,1,1.0,0.8934
B00013C2L6,1,1.0,-0.5423
B00013C2MA,1,5.0,0.7579
B00013C2TS,3,4.0,0.9076
B00013EWLY,1,4.0,0.4404
B00013MY78,2,4.5,0.8613
B00013UQKU,1,4.0,0.4939
B00013UQOG,1,5.0,0.8957
B00013VAVE,2,3.0,0.823
B00013VHFS,1,4.0,0.7506
B00013VNO8,1,2.0,0.3818
B000143ZK2,3,5.0,0.867
B000143ZKM,1,5.0,0.8908
B000144GWS,6,5.0,0.6232
B000144GX2,1,5.0,0.9022
B00014CDQO,1,5.0,0.9022
B00014CZP8,1,5.0,0.4404
B00014CZQC,1,4.0,-0.6705
B00014D37W,10,3.7,0.826
B00014D7D2,2,4.5,0.4984
B00014DAHU,1,3.0,0.0395
B00014DXCC,39,4.2051,0.6013
B00014EAVK,1,5.0,0.9781
B00014ECZ4,1,5.0,0.9846
B00014EGUU,1,5.0,-0.1531
B00014EO2A,1,3.0,0.8566
B00014F83Y,1,5.0,0.8402
B00014FAWS,1,5.0,0.8555
B00014FKPA,5,4.0,0.9484
